VGS_V,VDS_V,I_model_A
1.5,0.72500000000000009,9.1305000000000035e-05
1.5,0.75,9.1350000000000025e-05
1.5,0.77500000000000002,9.1395000000000042e-05
1.5,0.80000000000000004,9.1440000000000033e-05
1.5,0.82500000000000007,9.1485000000000036e-05
1.5,0.85000000000000009,9.1530000000000027e-05
1.5,0.875,9.1575000000000044e-05
1.5,0.90000000000000002,9.1620000000000034e-05
1.5,0.92500000000000004,9.1665000000000024e-05
1.5,0.95000000000000007,9.1710000000000028e-05
1.5,0.97500000000000009,9.1755000000000046e-05
1.5,1,9.1800000000000036e-05
1.5,1.0250000000000001,9.1845000000000026e-05
1.5,1.05,9.189000000000003e-05
1.5,1.075,9.1935000000000034e-05
1.5,1.1000000000000001,9.1980000000000038e-05
1.5,1.125,9.2025000000000028e-05
1.5,1.1500000000000001,9.2070000000000032e-05
1.5,1.175,9.2115000000000035e-05
1.5,1.2000000000000002,9.2160000000000039e-05
1.5,1.2250000000000001,9.2205000000000029e-05
1.5,1.25,9.225000000000002e-05
1.5,1.2750000000000001,9.2295000000000037e-05
1.5,1.3,9.2340000000000041e-05
1.5,1.3250000000000002,9.2385000000000031e-05
1.5,1.3500000000000001,9.2430000000000021e-05
1.5,1.375,9.2475000000000039e-05
1.5,1.4000000000000001,9.2520000000000043e-05
1.5,1.425,9.2565000000000033e-05
1.5,1.4500000000000002,9.2610000000000023e-05
1.5,1.4750000000000001,9.265500000000004e-05
1.5,1.5,9.2700000000000031e-05
1.5,1.5250000000000001,9.2745000000000034e-05
1.5,1.55,9.2790000000000025e-05
1.5,1.5750000000000002,9.2835000000000042e-05
1.5,1.6000000000000001,9.2880000000000032e-05
1.5,1.625,9.2925000000000036e-05
1.5,1.6500000000000001,9.2970000000000026e-05
1.5,1.675,9.3015000000000044e-05
1.5,1.7000000000000002,9.3060000000000034e-05
1.5,1.7250000000000001,9.3105000000000038e-05
1.5,1.75,9.3150000000000028e-05
1.5,1.7750000000000001,9.3195000000000045e-05
1.5,1.8,9.3240000000000036e-05
1.5,1.8250000000000002,9.3285000000000026e-05
1.5,1.8500000000000001,9.333000000000003e-05
1.5,1.875,9.3375000000000047e-05
1.5,1.9000000000000001,9.3420000000000037e-05
1.5,1.925,9.3465000000000028e-05
1.5,1.9500000000000002,9.3510000000000031e-05
1.5,1.9750000000000001,9.3555000000000049e-05
1.5,2,9.3600000000000039e-05
1.5,2.0249999999999999,9.3645000000000029e-05
1.5,2.0500000000000003,9.3690000000000033e-05
1.5,2.0750000000000002,9.3735000000000037e-05
1.5,2.1000000000000001,9.3780000000000041e-05
1.5,2.125,9.3825000000000031e-05
1.5,2.1499999999999999,9.3870000000000021e-05
1.5,2.1750000000000003,9.3915000000000038e-05
1.5,2.2000000000000002,9.3960000000000042e-05
1.5,2.2250000000000001,9.4005000000000033e-05
1.5,2.25,9.4050000000000023e-05
1.5,2.2749999999999999,9.409500000000004e-05
1.5,2.3000000000000003,9.4140000000000044e-05
1.5,2.3250000000000002,9.4185000000000034e-05
1.5,2.3500000000000001,9.4230000000000024e-05
1.5,2.375,9.4275000000000042e-05
1.5,2.4000000000000004,9.4320000000000032e-05
1.5,2.4250000000000003,9.4365000000000036e-05
1.5,2.4500000000000002,9.4410000000000026e-05
1.5,2.4750000000000001,9.4455000000000043e-05
1.5,2.5,9.4500000000000034e-05
1.5,2.5250000000000004,9.4545000000000038e-05
1.5,2.5500000000000003,9.4590000000000028e-05
1.5,2.5750000000000002,9.4635000000000045e-05
1.5,2.6000000000000001,9.4680000000000035e-05
1.5,2.625,9.4725000000000039e-05
1.5,2.6500000000000004,9.4770000000000029e-05
1.5,2.6750000000000003,9.4815000000000047e-05
1.5,2.7000000000000002,9.4860000000000037e-05
1.5,2.7250000000000001,9.4905000000000027e-05
1.5,2.75,9.4950000000000031e-05
1.5,2.7750000000000004,9.4995000000000048e-05
1.5,2.8000000000000003,9.5040000000000039e-05
1.5,2.8250000000000002,9.5085000000000029e-05
1.5,2.8500000000000001,9.5130000000000033e-05
1.5,2.875,9.517500000000005e-05
1.5,2.9000000000000004,9.522000000000004e-05
1.5,2.9250000000000003,9.5265000000000031e-05
1.5,2.9500000000000002,9.5310000000000034e-05
1.5,2.9750000000000001,9.5355000000000038e-05
1.5,3,9.5400000000000042e-05
2,0,0
2,0.025000000000000001,3.9394687500000007e-05
2,0.050000000000000003,7.7577500000000001e-05
2,0.075000000000000011,0.00011454656250000003
2,0.10000000000000001,0.00015030000000000002
2,0.125,0.00018483593750000002
2,0.15000000000000002,0.0002181525
2,0.17500000000000002,0.00025024781250000005
2,0.20000000000000001,0.00028112000000000005
2,0.22500000000000001,0.00031076718750000005
2,0.25,0.00033918749999999997
2,0.27500000000000002,0.00036637906250000009
2,0.30000000000000004,0.00039234000000000008
2,0.32500000000000001,0.00041706843749999997
2,0.35000000000000003,0.00044056249999999998
2,0.375,0.00046282031250000012
2,0.40000000000000002,0.00048384000000000014
2,0.42500000000000004,0.00050361968750000014
2,0.45000000000000001,0.00052215750000000004
2,0.47500000000000003,0.00053945156250000007
2,0.5,0.0005555
2,0.52500000000000002,0.00057030093750000009
2,0.55000000000000004,0.0005838525
2,0.57500000000000007,0.00059615281250000008
2,0.60000000000000009,0.00060720000000000001
2,0.625,0.00061699218749999992
2,0.65000000000000002,0.00062552749999999992
2,0.67500000000000004,0.00063280406250000012
2,0.70000000000000007,0.00063882000000000001
2,0.72500000000000009,0.00064357343750000003
2,0.75,0.00064706250000000007
2,0.77500000000000002,0.00064928531250000026
2,0.80000000000000004,0.00065024000000000017
2,0.82500000000000007,0.00065056000000000011
2,0.85000000000000009,0.00065088000000000006
2,0.875,0.00065120000000000022
2,0.90000000000000002,0.00065152000000000016
2,0.92500000000000004,0.0006518400000000001
2,0.95000000000000007,0.00065216000000000015
2,0.97500000000000009,0.0006524800000000002
2,1,0.00065280000000000015
2,1.0250000000000001,0.00065312000000000009
2,1.05,0.00065344000000000014
2,1.075,0.00065376000000000019
2,1.1000000000000001,0.00065408000000000013
2,1.125,0.00065440000000000019
2,1.1500000000000001,0.00065472000000000013
2,1.175,0.00065504000000000018
2,1.2000000000000002,0.00065536000000000023
2,1.2250000000000001,0.00065568000000000017
2,1.25,0.00065600000000000012
2,1.2750000000000001,0.00065632000000000017
2,1.3,0.00065664000000000022
2,1.3250000000000002,0.00065696000000000016
2,1.3500000000000001,0.0006572800000000001
2,1.375,0.00065760000000000026
2,1.4000000000000001,0.00065792000000000021
2,1.425,0.00065824000000000015
2,1.4500000000000002,0.00065856000000000009
2,1.4750000000000001,0.00065888000000000025
2,1.5,0.00065920000000000019
2,1.5250000000000001,0.00065952000000000014
2,1.55,0.00065984000000000008
2,1.5750000000000002,0.00066016000000000024
2,1.6000000000000001,0.00066048000000000018
2,1.625,0.00066080000000000012
2,1.6500000000000001,0.00066112000000000007
2,1.675,0.00066144000000000023
2,1.7000000000000002,0.00066176000000000017
2,1.7250000000000001,0.00066208000000000011
2,1.75,0.00066240000000000016
2,1.7750000000000001,0.00066272000000000021
2,1.8,0.00066304000000000016
2,1.8250000000000002,0.0006633600000000001
2,1.8500000000000001,0.00066368000000000015
2,1.875,0.0006640000000000002
2,1.9000000000000001,0.00066432000000000014
2,1.925,0.0006646400000000002
2,1.9500000000000002,0.00066496000000000014
2,1.9750000000000001,0.00066528000000000019
2,2,0.00066560000000000024
2,2.0249999999999999,0.00066592000000000018
2,2.0500000000000003,0.00066624000000000013
2,2.0750000000000002,0.00066656000000000018
2,2.1000000000000001,0.00066688000000000023
2,2.125,0.00066720000000000017
2,2.1499999999999999,0.00066752000000000011
2,2.1750000000000003,0.00066784000000000027
2,2.2000000000000002,0.00066816000000000022
2,2.2250000000000001,0.00066848000000000016
2,2.25,0.0006688000000000001
2,2.2749999999999999,0.00066912000000000026
2,2.3000000000000003,0.0006694400000000002
2,2.3250000000000002,0.00066976000000000015
2,2.3500000000000001,0.00067008000000000009
2,2.375,0.00067040000000000025
2,2.4000000000000004,0.00067072000000000019
2,2.4250000000000003,0.00067104000000000013
2,2.4500000000000002,0.00067136000000000008
2,2.4750000000000001,0.00067168000000000024
2,2.5,0.00067200000000000018
2,2.5250000000000004,0.00067232000000000012
2,2.5500000000000003,0.00067264000000000017
2,2.5750000000000002,0.00067296000000000022
2,2.6000000000000001,0.00067328000000000017
2,2.625,0.00067360000000000011
2,2.6500000000000004,0.00067392000000000016
2,2.6750000000000003,0.00067424000000000021
2,2.7000000000000002,0.00067456000000000016
2,2.7250000000000001,0.00067488000000000021
2,2.75,0.00067520000000000015
2,2.7750000000000004,0.0006755200000000002
2,2.8000000000000003,0.00067584000000000025
2,2.8250000000000002,0.00067616000000000019
2,2.8500000000000001,0.00067648000000000014
2,2.875,0.00067680000000000019
2,2.9000000000000004,0.00067712000000000024
2,2.9250000000000003,0.00067744000000000018
2,2.9500000000000002,0.00067776000000000012
2,2.9750000000000001,0.00067808000000000028
2,3,0.00067840000000000023
2.5,0,0
2.5,0.025000000000000001,6.4407187500000005e-05
2.5,0.050000000000000003,0.00012762749999999998
2.5,0.075000000000000011,0.00018965906250000006
2.5,0.10000000000000001,0.00025050000000000002
2.5,0.125,0.00031014843749999999
2.5,0.15000000000000002,0.0003686025
