 v-sweep                v(g)                   v(d)                   idrain                
 8.500000000000004e-01  3.500000000000000e+00  8.500000000000004e-01  3.241687500860001e-03 
 8.750000000000004e-01  3.500000000000000e+00  8.750000000000004e-01  3.316414063385001e-03 
 9.000000000000005e-01  3.500000000000000e+00  9.000000000000005e-01  3.389940000910001e-03 
 9.250000000000005e-01  3.500000000000000e+00  9.250000000000005e-01  3.462263438435000e-03 
 9.500000000000005e-01  3.500000000000000e+00  9.500000000000005e-01  3.533382500960001e-03 
 9.750000000000005e-01  3.500000000000000e+00  9.750000000000005e-01  3.603295313485000e-03 
 1.000000000000000e+00  3.500000000000000e+00  1.000000000000000e+00  3.672000001010001e-03 
 1.025000000000000e+00  3.500000000000000e+00  1.025000000000000e+00  3.739494688535000e-03 
 1.050000000000000e+00  3.500000000000000e+00  1.050000000000000e+00  3.805777501059999e-03 
 1.075000000000000e+00  3.500000000000000e+00  1.075000000000000e+00  3.870846563584999e-03 
 1.100000000000000e+00  3.500000000000000e+00  1.100000000000000e+00  3.934700001110000e-03 
 1.125000000000000e+00  3.500000000000000e+00  1.125000000000000e+00  3.997335938634999e-03 
 1.150000000000000e+00  3.500000000000000e+00  1.150000000000000e+00  4.058752501159999e-03 
 1.175000000000000e+00  3.500000000000000e+00  1.175000000000000e+00  4.118947813684999e-03 
 1.200000000000000e+00  3.500000000000000e+00  1.200000000000000e+00  4.177920001209999e-03 
 1.225000000000000e+00  3.500000000000000e+00  1.225000000000000e+00  4.235667188734999e-03 
 1.250000000000000e+00  3.500000000000000e+00  1.250000000000000e+00  4.292187501259997e-03 
 1.274999999999999e+00  3.500000000000000e+00  1.274999999999999e+00  4.347479063784999e-03 
 1.299999999999999e+00  3.500000000000000e+00  1.299999999999999e+00  4.401540001309998e-03 
 1.324999999999999e+00  3.500000000000000e+00  1.324999999999999e+00  4.454368438835000e-03 
 1.349999999999999e+00  3.500000000000000e+00  1.349999999999999e+00  4.505962501359999e-03 
 1.374999999999999e+00  3.500000000000000e+00  1.374999999999999e+00  4.556320313885000e-03 
 1.399999999999999e+00  3.500000000000000e+00  1.399999999999999e+00  4.605440001409999e-03 
 1.424999999999999e+00  3.500000000000000e+00  1.424999999999999e+00  4.653319688934997e-03 
 1.449999999999999e+00  3.500000000000000e+00  1.449999999999999e+00  4.699957501459999e-03 
 1.474999999999999e+00  3.500000000000000e+00  1.474999999999999e+00  4.745351563984998e-03 
 1.499999999999999e+00  3.500000000000000e+00  1.499999999999999e+00  4.789500001509998e-03 
 1.524999999999999e+00  3.500000000000000e+00  1.524999999999999e+00  4.832400939034998e-03 
 1.549999999999998e+00  3.500000000000000e+00  1.549999999999998e+00  4.874052501559998e-03 
 1.574999999999998e+00  3.500000000000000e+00  1.574999999999998e+00  4.914452814084997e-03 
 1.599999999999998e+00  3.500000000000000e+00  1.599999999999998e+00  4.953600001609998e-03 
 1.624999999999998e+00  3.500000000000000e+00  1.624999999999998e+00  4.991492189134998e-03 
 1.649999999999998e+00  3.500000000000000e+00  1.649999999999998e+00  5.028127501659997e-03 
 1.674999999999998e+00  3.500000000000000e+00  1.674999999999998e+00  5.063504064184998e-03 
 1.699999999999998e+00  3.500000000000000e+00  1.699999999999998e+00  5.097620001709997e-03 
 1.724999999999998e+00  3.500000000000000e+00  1.724999999999998e+00  5.130473439234997e-03 
 1.749999999999998e+00  3.500000000000000e+00  1.749999999999998e+00  5.162062501759998e-03 
 1.774999999999998e+00  3.500000000000000e+00  1.774999999999998e+00  5.192385314284996e-03 
 1.799999999999998e+00  3.500000000000000e+00  1.799999999999998e+00  5.221440001809999e-03 
 1.824999999999998e+00  3.500000000000000e+00  1.824999999999998e+00  5.249224689334999e-03 
 1.849999999999997e+00  3.500000000000000e+00  1.849999999999997e+00  5.275737501859997e-03 
 1.874999999999997e+00  3.500000000000000e+00  1.874999999999997e+00  5.300976564384998e-03 
 1.899999999999997e+00  3.500000000000000e+00  1.899999999999997e+00  5.324940001909998e-03 
 1.924999999999997e+00  3.500000000000000e+00  1.924999999999997e+00  5.347625939434998e-03 
 1.949999999999997e+00  3.500000000000000e+00  1.949999999999997e+00  5.369032501959997e-03 
 1.974999999999997e+00  3.500000000000000e+00  1.974999999999997e+00  5.389157814484997e-03 
 1.999999999999997e+00  3.500000000000000e+00  1.999999999999997e+00  5.408000002009999e-03 
 2.024999999999997e+00  3.500000000000000e+00  2.024999999999997e+00  5.425557189534998e-03 
 2.049999999999997e+00  3.500000000000000e+00  2.049999999999997e+00  5.441827502059999e-03 
 2.074999999999997e+00  3.500000000000000e+00  2.074999999999997e+00  5.456809064584999e-03 
 2.099999999999997e+00  3.500000000000000e+00  2.099999999999997e+00  5.470500002109999e-03 
 2.124999999999996e+00  3.500000000000000e+00  2.124999999999996e+00  5.482898439634998e-03 
 2.149999999999996e+00  3.500000000000000e+00  2.149999999999996e+00  5.494002502159997e-03 
 2.174999999999996e+00  3.500000000000000e+00  2.174999999999996e+00  5.503810314684998e-03 
 2.199999999999996e+00  3.500000000000000e+00  2.199999999999996e+00  5.512320002209997e-03 
 2.224999999999996e+00  3.500000000000000e+00  2.224999999999996e+00  5.519529689735000e-03 
 2.249999999999996e+00  3.500000000000000e+00  2.249999999999996e+00  5.525437502259999e-03 
 2.274999999999996e+00  3.500000000000000e+00  2.274999999999996e+00  5.530041564784998e-03 
 2.299999999999996e+00  3.500000000000000e+00  2.299999999999996e+00  5.533340002309999e-03 
 2.324999999999996e+00  3.500000000000000e+00  2.324999999999996e+00  5.535985002334999e-03 
 2.349999999999996e+00  3.500000000000000e+00  2.349999999999996e+00  5.538630002360000e-03 
 2.374999999999996e+00  3.500000000000000e+00  2.374999999999996e+00  5.541275002385000e-03 
 2.399999999999995e+00  3.500000000000000e+00  2.399999999999995e+00  5.543920002410000e-03 
 2.424999999999995e+00  3.500000000000000e+00  2.424999999999995e+00  5.546565002435000e-03 
 2.449999999999995e+00  3.500000000000000e+00  2.449999999999995e+00  5.549210002460000e-03 
 2.474999999999995e+00  3.500000000000000e+00  2.474999999999995e+00  5.551855002485000e-03 
 2.499999999999995e+00  3.500000000000000e+00  2.499999999999995e+00  5.554500002510000e-03 
 2.524999999999995e+00  3.500000000000000e+00  2.524999999999995e+00  5.557145002534999e-03 
 2.549999999999995e+00  3.500000000000000e+00  2.549999999999995e+00  5.559790002559999e-03 
 2.574999999999995e+00  3.500000000000000e+00  2.574999999999995e+00  5.562435002584999e-03 
 2.599999999999995e+00  3.500000000000000e+00  2.599999999999995e+00  5.565080002609999e-03 
 2.624999999999995e+00  3.500000000000000e+00  2.624999999999995e+00  5.567725002634997e-03 
 2.649999999999995e+00  3.500000000000000e+00  2.649999999999995e+00  5.570370002659999e-03 
 2.674999999999994e+00  3.500000000000000e+00  2.674999999999994e+00  5.573015002685000e-03 
 2.699999999999994e+00  3.500000000000000e+00  2.699999999999994e+00  5.575660002710000e-03 
 2.724999999999994e+00  3.500000000000000e+00  2.724999999999994e+00  5.578305002735000e-03 
 2.749999999999994e+00  3.500000000000000e+00  2.749999999999994e+00  5.580950002760000e-03 
 2.774999999999994e+00  3.500000000000000e+00  2.774999999999994e+00  5.583595002785000e-03 
 2.799999999999994e+00  3.500000000000000e+00  2.799999999999994e+00  5.586240002810000e-03 
 2.824999999999994e+00  3.500000000000000e+00  2.824999999999994e+00  5.588885002835000e-03 
 2.849999999999994e+00  3.500000000000000e+00  2.849999999999994e+00  5.591530002860000e-03 
 2.874999999999994e+00  3.500000000000000e+00  2.874999999999994e+00  5.594175002884999e-03 
 2.899999999999994e+00  3.500000000000000e+00  2.899999999999994e+00  5.596820002909999e-03 
 2.924999999999994e+00  3.500000000000000e+00  2.924999999999994e+00  5.599465002934999e-03 
 2.949999999999994e+00  3.500000000000000e+00  2.949999999999994e+00  5.602110002959999e-03 
 2.974999999999993e+00  3.500000000000000e+00  2.974999999999993e+00  5.604755002984999e-03 
 2.999999999999993e+00  3.500000000000000e+00  2.999999999999993e+00  5.607400003009999e-03 
