VDS_V,I_SPICE_A,lambda_0_A,lambda_0p02_A,lambda_0p05_A
0.52500000000000013,0.0011008134380349999,0.0011547374997181322,0.0011008134372312948,0.0010304777035528116
0.55000000000000016,0.0011399025005600001,0.0011951499997540551,0.0011399024997654241,0.0010678405432585146
0.57500000000000018,0.0011777653130850001,0.0012342374997944643,0.0011777653123038684,0.0011041059373161351
0.6000000000000002,0.0012144000006099999,0.0012719999998393593,0.0012143999998466336,0.0011392695650735132
0.62500000000000022,0.0012498046881349999,0.0013084374998887406,0.0012498046873937261,0.0011733271058784901
0.65000000000000024,0.00128397750066,0.0013435499999426075,0.0012839774999451521,0.0012062742390789062
0.67500000000000027,0.0013169165631849999,0.0013773375000009603,0.0013169165625009182,0.0012381066440226025
0.70000000000000029,0.00134862000071,0.0014098000000637991,0.0013486200000610304,0.0012688200000574193
0.72500000000000031,0.0013790859382350001,0.0014409375001311238,0.0013790859376254954,0.0012984099865311978
0.75000000000000033,0.00140831250076,0.0014707500002029345,0.001408312500194319,0.001326872282791778
0.77500000000000036,0.0014362978132849999,0.0014992375002792315,0.0014362978127675091,0.0013542025681870017
0.80000000000000038,0.0014630400008099999,0.0015264000003600143,0.0014630400003450702,0.0013803965220647088
0.8250000000000004,0.001488537188335,0.0015522375004452826,0.0014885371879270091,0.0014054498237727395
0.85000000000000042,0.00151278750086,0.0015767500005350375,0.0015127875005133331,0.0014293581526589364
0.87500000000000044,0.001535789063385,0.0015999375006292777,0.0015357890631040472,0.0014521171880711378
0.90000000000000047,0.00155754000091,0.0016218000007280039,0.0015575400006991584,0.0014737226093571862
0.92500000000000049,0.001578038438435,0.0016423375008312168,0.0015780384382986738,0.0014941700958649225
0.95000000000000051,0.001597282500959999,0.0016615500009389147,0.001597282500902598,0.0015134553269421857
0.97500000000000053,0.0016152703134849999,0.0016794375010510995,0.0016152703135109395,0.0015315739819368179
1,0.00163200000101,0.001696000001167769,0.0016320000011237022,0.0015485217401966589
1.0249999999999999,0.0016474696885349989,0.0017112375012889253,0.0016474696887408943,0.0015642942810695502
1.05,0.00166167750106,0.0017251500014145676,0.0016616775013625217,0.0015788872839033324
1.075,0.001674621563584999,0.0017377375015446956,0.0016746215639885911,0.0015922964280458462
1.1000000000000001,0.0016863000011100001,0.0017490000016793096,0.0016863000016191078,0.0016045173928449319
1.125,0.0016967109386349991,0.0017589375018184097,0.001696710939254079,0.0016155458576484307
1.1499999999999999,0.0017058525011600001,0.0017675500019619953,0.0017058525018935104,0.001625377501804183
1.175,0.001713722813685,0.0017748375021100675,0.0017137228145374095,0.0016340080046600297
1.2,0.00172032000121,0.0017808000022626249,0.0017203200021857811,0.0016414330455638111
1.2250000000000001,0.0017256421887349991,0.0017854375024196688,0.0017256421898386325,0.0016476483038633683
1.25,0.0017296875012599989,0.0017887500025811987,0.0017296875024959701,0.0016526494589065423
1.274999999999999,0.001732454063784999,0.0017907375027472144,0.0017324540651578004,0.0016564321900411733
1.2999999999999989,0.001733940001309999,0.0017914000029177163,0.001733940002824129,0.0016589921766151023
1.3249999999999991,0.0017347850013349989,0.0017914000029177163,0.0017347850028255052,0.0016609393505313172
1.349999999999999,0.0017356300013599991,0.0017914000029177163,0.0017356300028268815,0.001662886524447532
1.3749999999999989,0.001736475001384999,0.0017914000029177163,0.0017364750028282579,0.0016648336983637469
1.399999999999999,0.001737320001409999,0.0017914000029177163,0.0017373200028296342,0.0016667808722799619
1.4249999999999989,0.001738165001435,0.0017914000029177163,0.0017381650028310104,0.0016687280461961771
1.4499999999999991,0.0017390100014599999,0.0017914000029177163,0.0017390100028323865,0.0016706752201123918
1.474999999999999,0.0017398550014850001,0.0017914000029177163,0.0017398550028337632,0.0016726223940286067
1.4999999999999989,0.0017407000015099989,0.0017914000029177163,0.0017407000028351392,0.0016745695679448217
1.524999999999999,0.0017415450015349991,0.0017914000029177163,0.0017415450028365155,0.0016765167418610364
1.549999999999998,0.001742390001559999,0.0017914000029177163,0.0017423900028378917,0.0016784639157772514
1.574999999999998,0.001743235001585,0.0017914000029177163,0.0017432350028392678,0.0016804110896934661
1.5999999999999981,0.00174408000161,0.0017914000029177163,0.0017440800028406445,0.0016823582636096811
1.624999999999998,0.001744925001634999,0.0017914000029177163,0.0017449250028420207,0.001684305437525896
1.6499999999999979,0.001745770001659999,0.0017914000029177163,0.0017457700028433967,0.0016862526114421112
1.674999999999998,0.0017466150016849989,0.0017914000029177163,0.001746615002844773,0.0016881997853583259
1.699999999999998,0.0017474600017099991,0.0017914000029177163,0.0017474600028461495,0.0016901469592745409
1.7249999999999981,0.0017483050017350001,0.0017914000029177163,0.0017483050028475257,0.0016920941331907558
1.749999999999998,0.00174915000176,0.0017914000029177163,0.001749150002848902,0.0016940413071069706
1.7749999999999979,0.0017499950017849991,0.0017914000029177163,0.001749995002850278,0.0016959884810231855
1.799999999999998,0.001750840001809999,0.0017914000029177163,0.0017508400028516547,0.0016979356549394003
1.824999999999998,0.001751685001834999,0.0017914000029177163,0.001751685002853031,0.0016998828288556152
1.849999999999997,0.00175253000186,0.0017914000029177163,0.001752530002854407,0.0017018300027718302
1.8749999999999969,0.0017533750018849999,0.0017914000029177163,0.0017533750028557833,0.0017037771766880449
1.899999999999997,0.001754220001909999,0.0017914000029177163,0.0017542200028571597,0.0017057243506042599
1.9249999999999969,0.0017550650019349989,0.0017914000029177163,0.001755065002858536,0.001707671524520475
1.9499999999999971,0.0017559100019599991,0.0017914000029177163,0.0017559100028599122,0.00170961869843669
1.974999999999997,0.001756755001984999,0.0017914000029177163,0.0017567550028612883,0.0017115658723529047
1.9999999999999969,0.00175760000201,0.0017914000029177163,0.001757600002862665,0.0017135130462691197
2.0249999999999968,0.001758445002035,0.0017914000029177163,0.0017584450028640412,0.0017154602201853344
2.0499999999999972,0.001759290002059999,0.0017914000029177163,0.0017592900028654173,0.0017174073941015494
2.0749999999999971,0.001760135002084999,0.0017914000029177163,0.0017601350028667935,0.0017193545680177643
2.099999999999997,0.0017609800021099989,0.0017914000029177163,0.00176098000286817,0.001721301741933979
2.124999999999996,0.0017618250021349991,0.0017914000029177163,0.0017618250028695462,0.001723248915850194
2.1499999999999959,0.0017626700021600001,0.0017914000029177163,0.0017626700028709225,0.0017251960897664087
2.1749999999999958,0.0017635150021849989,0.0017914000029177163,0.0017635150028722985,0.0017271432636826237
2.1999999999999962,0.0017643600022099991,0.0017914000029177163,0.0017643600028736748,0.0017290904375988389
2.2249999999999961,0.001765205002234999,0.0017914000029177163,0.0017652050028750515,0.0017310376115150538
2.249999999999996,0.001766050002259999,0.0017914000029177163,0.0017660500028764275,0.0017329847854312685
