VGS_V,I_SPICE_A,lambda_0_A,lambda_0p02_A,lambda_0p05_A
1.2200000000000011,4.2400301000001969e-07,4.2400013676024675e-07,4.2400013676024675e-07,4.2400013676024669e-07
1.2400000000000011,1.6960030100000511e-06,1.6960002706494759e-06,1.6960002706494759e-06,1.6960002706494759e-06
1.2600000000000009,3.8160030100000636e-06,3.8160004016676708e-06,3.8160004016676708e-06,3.8160004016676708e-06
1.2800000000000009,6.7840030100000943e-06,6.7840005298148782e-06,6.7840005298148782e-06,6.7840005298148782e-06
1.3000000000000009,1.060000301000011e-05,1.0600000655091079e-05,1.0600000655091077e-05,1.0600000655091077e-05
1.320000000000001,1.5264003010000091e-05,1.5264000777496274e-05,1.5264000777496274e-05,1.5264000777496274e-05
1.340000000000001,2.0776003010000149e-05,2.0776000897030462e-05,2.0776000897030462e-05,2.0776000897030462e-05
1.360000000000001,2.713600301000016e-05,2.7136001013693645e-05,2.7136001013693641e-05,2.7136001013693641e-05
1.380000000000001,3.4344003010000298e-05,3.4344001127485822e-05,3.4344001127485822e-05,3.4344001127485822e-05
1.400000000000001,4.240000301000029e-05,4.2400001238406988e-05,4.2400001238406988e-05,4.2400001238406988e-05
1.420000000000001,5.1304003010000407e-05,5.1304001346457155e-05,5.1304001346457155e-05,5.1304001346457155e-05
1.4400000000000011,6.1056003010000323e-05,6.1056001451636303e-05,6.1056001451636303e-05,6.1056001451636316e-05
1.4600000000000011,7.1656003010000364e-05,7.1656001553944452e-05,7.1656001553944466e-05,7.1656001553944452e-05
1.4800000000000011,8.3104003010000421e-05,8.310400165338161e-05,8.310400165338161e-05,8.3104001653381597e-05
1.5000000000000011,9.5400003010000494e-05,9.5400001749947749e-05,9.5400001749947749e-05,9.5400001749947736e-05
1.5200000000000009,0.0001085440030100006,0.00010854400184364272,0.00010854400184364272,0.00010854400184364272
1.5400000000000009,0.0001225360030100008,0.00012253600193446682,0.00012253600193446682,0.00012253600193446685
1.5600000000000009,0.0001373760030100007,0.00013737600202241995,0.00013737600202241992,0.00013737600202241992
1.580000000000001,0.00015306400301000071,0.00015306400210750204,0.00015306400210750204,0.00015306400210750206
1.600000000000001,0.0001696000030100007,0.00016960000218971315,0.00016960000218971315,0.00016960000218971315
1.620000000000001,0.000186984003010001,0.00018698400226905323,0.00018698400226905323,0.00018698400226905323
1.640000000000001,0.00020521600301000089,0.0002052160023455223,0.0002052160023455223,0.00020521600234552233
1.660000000000001,0.0002242960030100008,0.0002242960024191204,0.0002242960024191204,0.0002242960024191204
1.680000000000001,0.0002442240030100008,0.00024422400248984744,0.00024422400248984749,0.00024422400248984744
1.7000000000000011,0.00026500000301000088,0.00026500000255770355,0.0002650000025577035,0.0002650000025577035
1.7200000000000011,0.00028662400301000102,0.0002866240026226886,0.00028662400262268855,0.00028662400262268855
1.7400000000000011,0.00030909600301000113,0.00030909600268480265,0.00030909600268480265,0.00030909600268480265
1.7600000000000009,0.00033241600301000119,0.00033241600274404543,0.00033241600274404543,0.00033241600274404543
1.7800000000000009,0.00035658400301000122,0.00035658400280041752,0.00035658400280041752,0.00035658400280041752
1.8000000000000009,0.00038160000301000132,0.0003816000028539185,0.0003816000028539185,0.0003816000028539185
1.820000000000001,0.00040746400301000128,0.00040746400290454852,0.00040746400290454847,0.00040746400290454852
1.840000000000001,0.0004341760030100012,0.00043417600295230755,0.00043417600295230755,0.00043417600295230755
