sweep_V,VGS_V,VDS_V,I_SPICE_A,I_channel_model_A,residual_A,tolerance_A
2.220000000000002,2.220000000000002,3,0.0011028240030100029,0.0011028240000000046,3.0099982836068184e-12,1.2028240000000046e-09
2.240000000000002,2.240000000000002,3,0.0011464960030100029,0.0011464960000000047,3.0099982836068184e-12,1.2464960000000047e-09
2.260000000000002,2.260000000000002,3,0.0011910160030100031,0.0011910160000000046,3.0099985004472529e-12,1.2910160000000047e-09
2.280000000000002,2.280000000000002,3,0.0012363840030100029,0.0012363840000000049,3.0099980667663839e-12,1.3363840000000049e-09
2.300000000000002,2.300000000000002,3,0.001282600003010004,0.001282600000000005,3.0099989341281219e-12,1.3826000000000051e-09
2.3200000000000021,2.3200000000000021,3,0.001329664003010003,0.0013296640000000051,3.0099978499259494e-12,1.4296640000000052e-09
2.3400000000000021,2.3400000000000021,3,0.0013775760030100041,0.0013775760000000051,3.0099989341281219e-12,1.4775760000000051e-09
2.3600000000000021,2.3600000000000021,3,0.0014263360030100031,0.0014263360000000053,3.0099978499259494e-12,1.5263360000000053e-09
2.3800000000000021,2.3800000000000021,3,0.001475944003010004,0.0014759440000000055,3.0099985004472529e-12,1.5759440000000055e-09
2.4000000000000021,2.4000000000000021,3,0.0015264000030100039,0.0015264000000000057,3.0099982836068184e-12,1.6264000000000057e-09
2.4200000000000021,2.4200000000000021,3,0.0015777040030100051,0.0015777040000000057,3.0099993678089909e-12,1.6777040000000057e-09
2.4400000000000022,2.4400000000000022,3,0.001629856003010004,0.0016298560000000059,3.0099980667663839e-12,1.7298560000000058e-09
2.4600000000000022,2.4600000000000022,3,0.0016828560030100049,0.001682856000000006,3.0099989341281219e-12,1.7828560000000059e-09
2.4800000000000022,2.4800000000000022,3,0.0017367040030100041,0.0017367040000000062,3.0099978499259494e-12,1.8367040000000063e-09
2.5000000000000022,2.5000000000000022,3,0.001791400003010004,0.0017914000000000064,3.0099976330855149e-12,1.8914000000000061e-09
2.5200000000000018,2.5200000000000018,3,0.0018469440030100049,0.0018469440000000053,3.0099995846494254e-12,1.9469440000000053e-09
2.5400000000000018,2.5400000000000018,3,0.0019033360030100051,0.0019033360000000055,3.0099995846494254e-12,2.0033360000000056e-09
2.5600000000000018,2.5600000000000018,3,0.0019605760030100049,0.0019605760000000055,3.0099993678089909e-12,2.0605760000000057e-09
2.5800000000000018,2.5800000000000018,3,0.0020186640030100049,0.0020186640000000055,3.0099993678089909e-12,2.1186640000000056e-09
2.6000000000000019,2.6000000000000019,3,0.0020776000030100052,0.0020776000000000054,3.0099998014898599e-12,2.1776000000000054e-09
2.6200000000000019,2.6200000000000019,3,0.002137384003010005,0.0021373840000000061,3.0099989341281219e-12,2.2373840000000062e-09
2.6400000000000019,2.6400000000000019,3,0.0021980160030100051,0.0021980160000000062,3.0099989341281219e-12,2.2980160000000061e-09
2.6600000000000019,2.6600000000000019,3,0.002259496003010006,0.0022594960000000067,3.0099993678089909e-12,2.3594960000000066e-09
2.6800000000000019,2.6800000000000019,3,0.002321824003010006,0.0023218240000000062,3.0099998014898599e-12,2.421824000000006e-09
2.700000000000002,2.700000000000002,3,0.002385000003010005,0.0023850000000000069,3.0099980667663839e-12,2.485000000000007e-09
2.720000000000002,2.720000000000002,3,0.002449024003010006,0.0024490240000000067,3.0099993678089909e-12,2.5490240000000066e-09
2.740000000000002,2.740000000000002,3,0.0025138960030100061,0.0025138960000000068,3.0099993678089909e-12,2.6138960000000068e-09
2.760000000000002,2.760000000000002,3,0.0025796160030100062,0.0025796160000000072,3.0099989341281219e-12,2.6796160000000073e-09
2.780000000000002,2.780000000000002,3,0.0026461840030100069,0.0026461840000000071,3.0099998014898599e-12,2.7461840000000072e-09
2.800000000000002,2.800000000000002,3,0.0027136000030100072,0.0027136000000000074,3.0099998014898599e-12,2.8136000000000073e-09
2.8200000000000021,2.8200000000000021,3,0.002781864003010007,0.0027818640000000072,3.0099998014898599e-12,2.8818640000000073e-09
2.8400000000000021,2.8400000000000021,3,0.002850976003010007,0.0028509760000000077,3.0099993678089909e-12,2.9509760000000075e-09
2.8600000000000021,2.8600000000000021,3,0.0029209360030100079,0.0029209360000000077,3.0100002351707289e-12,3.0209360000000075e-09
2.8800000000000021,2.8800000000000021,3,0.002991744003010006,0.0029917440000000075,3.0099985004472529e-12,3.0917440000000074e-09
2.9000000000000021,2.9000000000000021,3,0.0030634000030100072,0.0030634000000000078,3.0099993678089909e-12,3.1634000000000079e-09
2.9200000000000021,2.9200000000000021,3,0.0031359040030100082,0.0031359040000000084,3.0099998014898599e-12,3.2359040000000083e-09
2.9400000000000022,2.9400000000000022,3,0.0032092560030100082,0.0032092560000000084,3.0099998014898599e-12,3.3092560000000085e-09
2.9600000000000022,2.9600000000000022,3,0.003283456003010009,0.0032834560000000088,3.0100002351707289e-12,3.3834560000000089e-09
2.9800000000000022,2.9800000000000022,3,0.0033585040030100111,0.0033585040000000091,3.0100019698942049e-12,3.4585040000000091e-09
3.0000000000000022,3.0000000000000022,3,0.00343440000301001,0.0034344000000000089,3.0100011025324669e-12,3.5344000000000088e-09
3.0200000000000018,3.0200000000000018,3,0.0035111440030100079,0.0035111440000000077,3.0100002351707289e-12,3.6111440000000075e-09
3.0400000000000018,3.0400000000000018,3,0.0035887360030100088,0.0035887360000000073,3.0100015362133359e-12,3.6887360000000072e-09
3.0600000000000018,3.0600000000000018,3,0.0036671760030100101,0.0036671760000000077,3.0100024035750739e-12,3.7671760000000072e-09
3.0800000000000018,3.0800000000000018,3,0.0037464640030100099,0.0037464640000000079,3.0100019698942049e-12,3.8464640000000074e-09
3.1000000000000019,3.1000000000000019,3,0.0038266000030100101,0.0038266000000000081,3.0100019698942049e-12,3.9266000000000083e-09
3.1200000000000019,3.1200000000000019,3,0.0039075840030100093,0.0039075840000000082,3.0100011025324669e-12,4.0075840000000082e-09
3.1400000000000019,3.1400000000000019,3,0.0039894160030100097,0.0039894160000000086,3.0100011025324669e-12,4.0894160000000088e-09
3.1600000000000019,3.1600000000000019,3,0.0040720960030100097,0.0040720960000000085,3.0100011025324669e-12,4.1720960000000083e-09
3.1800000000000019,3.1800000000000019,3,0.004155624003010009,0.0041556240000000088,3.0100002351707289e-12,4.2556240000000085e-09
3.200000000000002,3.200000000000002,3,0.0042400000030100096,0.0042400000000000077,3.0100019698942049e-12,4.3400000000000078e-09
