VGS_V,I_VDS_3V_A,I_VDS_0p2V_A
2.1799999999999997,0.0010180239999999995,0.00035340799999999988
2.2000000000000002,0.0010600000000000006,0.00036144000000000014
2.2199999999999998,0.0011028239999999994,0.00036947199999999987
2.2400000000000002,0.0011464960000000005,0.00037750400000000013
2.2599999999999998,0.0011910159999999998,0.00038553599999999991
2.2800000000000002,0.0012363840000000007,0.00039356800000000017
2.2999999999999998,0.0012825999999999998,0.0004015999999999999
2.3200000000000003,0.0013296640000000006,0.00040963200000000016
2.3399999999999999,0.0013775759999999999,0.00041766399999999994
2.3599999999999999,0.0014263360000000001,0.00042569599999999993
2.3799999999999999,0.0014759439999999999,0.00043372799999999992
2.3999999999999999,0.0015264,0.00044175999999999997
2.4199999999999999,0.0015777040000000001,0.00044979199999999997
2.4399999999999999,0.0016298560000000001,0.00045782399999999996
2.46,0.0016828560000000004,0.00046585600000000001
2.48,0.0017367040000000002,0.000473888
2.5,0.0017914000000000003,0.00048191999999999999
2.52,0.0018469440000000003,0.00048995199999999999
2.54,0.0019033360000000005,0.00049798400000000004
2.5600000000000001,0.0019605760000000003,0.00050601599999999997
2.5800000000000001,0.0020186640000000003,0.00051404800000000002
2.6000000000000001,0.0020776000000000006,0.00052208000000000007
2.6200000000000001,0.0021373840000000009,0.00053011200000000001
2.6400000000000001,0.0021980160000000006,0.00053814400000000006
2.6600000000000001,0.002259496000000001,0.0005461760000000001
2.6799999999999997,0.0023218239999999997,0.00055420799999999994
2.7000000000000002,0.0023850000000000013,0.00056224000000000009
2.7199999999999998,0.0024490239999999997,0.00057027199999999992
2.7400000000000002,0.0025138960000000011,0.00057830400000000008
2.7599999999999998,0.0025796159999999994,0.00058633600000000002
2.7800000000000002,0.0026461840000000011,0.00059436800000000007
2.7999999999999998,0.0027136,0.0006023999999999999
2.8199999999999998,0.0027818639999999998,0.00061043200000000005
2.8399999999999999,0.0028509759999999994,0.00061846399999999999
2.8599999999999999,0.0029209360000000003,0.00062649600000000004
2.8799999999999999,0.0029917439999999997,0.00063452799999999998
2.8999999999999999,0.0030634,0.00064256000000000003
2.9199999999999999,0.0031359040000000001,0.00065059200000000008
2.9399999999999999,0.0032092560000000002,0.00065862400000000001
2.96,0.0032834560000000001,0.00066665600000000006
2.98,0.003358504,0.00067468800000000011
3,0.0034344000000000006,0.00068272000000000005
3.02,0.0035111440000000008,0.00069075199999999999
3.04,0.0035887360000000004,0.00069878400000000015
3.0600000000000001,0.0036671760000000007,0.00070681600000000008
3.0800000000000001,0.003746464000000001,0.00071484800000000002
3.1000000000000001,0.0038266000000000007,0.00072288000000000007
3.1200000000000001,0.0039075840000000013,0.00073091200000000012
3.1400000000000001,0.0039894160000000008,0.00073894400000000006
3.1600000000000001,0.0040720960000000007,0.00074697600000000011
3.1800000000000002,0.004155624000000001,0.00075500800000000015
3.2000000000000002,0.0042400000000000007,0.00076304000000000009
3.2199999999999998,0.0043252239999999982,0.00077107199999999982
3.2400000000000002,0.0044112959999999994,0.00077910399999999997
3.2599999999999998,0.0044982159999999985,0.00078713599999999991
3.2799999999999998,0.0045859840000000004,0.00079516800000000007
3.2999999999999998,0.0046745999999999984,0.00080319999999999979
3.3199999999999998,0.004764064000000001,0.00081123200000000006
3.3399999999999999,0.0048543759999999988,0.00081926399999999989
3.3599999999999999,0.0049455360000000012,0.00082729600000000004
3.3799999999999999,0.0050375439999999988,0.00083532799999999987
3.3999999999999999,0.0051304000000000011,0.00084336000000000014
3.4199999999999999,0.0052241039999999994,0.00085139199999999986
3.4399999999999999,0.0053186560000000006,0.00085942400000000013
3.46,0.0054140559999999987,0.00086745599999999985
3.48,0.0055103040000000015,0.00087548800000000011
3.5,0.0056074000000000002,0.00088351999999999994
